Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:34 UTC,3h 14m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:32 UTC,3h 17m,Not in Transit,Tug,SUPPORTING VESSELS
J CREW,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:02 UTC,4h 21m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:01 UTC,1h 23m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE ANN,DEPARTURE,Port,LOS ANGELES,2021-11-17 20:58 UTC,1h 18m,Not in Transit,Other Special Craft,OTHER MARKETS
MASTER,DEPARTURE,Port,LOS ANGELES,2021-11-17 20:44 UTC,4h 31m,Not in Transit,Tug,SUPPORTING VESSELS
PETER MAC,DEPARTURE,Port,LOS ANGELES,2021-11-17 20:40 UTC,53m,Not in Transit,Crew Boat,SUPPORTING VESSELS
LANA,DEPARTURE,Port,LOS ANGELES,2021-11-17 20:36 UTC,54m,Not in Transit,Other Passenger,PASSENGER SHIPS
FIRE BOAT 20,DEPARTURE,Port,LOS ANGELES,2021-11-17 19:46 UTC,2h 48m,Not in Transit,Other Special Craft,OTHER MARKETS
TRIUMPHANT,DEPARTURE,Port,LOS ANGELES,2021-11-17 19:14 UTC,1h 8m,Not in Transit,Other Passenger,PASSENGER SHIPS
PILOT BOAT ORION,DEPARTURE,Port,LOS ANGELES,2021-11-17 19:13 UTC,53m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-17 16:24 UTC,3h 29m,Not in Transit,Other Special Craft,OTHER MARKETS
MILLENNIUM MAVERICK,DEPARTURE,Port,LOS ANGELES,2021-11-17 16:11 UTC,4h 5m,Not in Transit,Tug,SUPPORTING VESSELS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-17 16:03 UTC,3h 58m,Not in Transit,Tug,SUPPORTING VESSELS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-17 15:43 UTC,42m,Not in Transit,Other Special Craft,OTHER MARKETS
JOHN QUIGG,DEPARTURE,Port,LOS ANGELES,2021-11-17 14:57 UTC,3h 32m,Not in Transit,Tug,SUPPORTING VESSELS
