Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
PU WANG HAI,DEPARTURE,Port,SHANGHAI,2021-11-24 03:16 UTC,1h 21m,In Transit,Bulk Carrier,DRY BULK
FEI YI 11,DEPARTURE,Port,SHANGHAI,2021-11-24 03:15 UTC,1h 48m,Not in Transit,High Speed Craft,PASSENGER SHIPS
HAI XIN YOU 603,DEPARTURE,Port,SHANGHAI,2021-11-24 03:09 UTC,1h 1m,In Transit,Other Tanker,WET BULK
HAIXUN01014,DEPARTURE,Port,SHANGHAI,2021-11-24 03:08 UTC,1h 44m,Not in Transit,Other Special Craft,OTHER MARKETS
HEZHOU7,DEPARTURE,Port,SHANGHAI,2021-11-24 03:05 UTC,1h 12m,In Transit,Other Cargo,DRY BREAKBULK
HAICHAOJI19,DEPARTURE,Port,SHANGHAI,2021-11-24 02:43 UTC,1h 26m,In Transit,Other Cargo,DRY BREAKBULK
SU HUAI HUO 19580,DEPARTURE,Port,SHANGHAI,2021-11-24 02:40 UTC,1h 31m,In Transit,Other Cargo,DRY BREAKBULK
YONGDA789,DEPARTURE,Port,SHANGHAI,2021-11-24 02:12 UTC,1h 21m,In Transit,Other Cargo,DRY BREAKBULK
YANGSHANHUANBAO1,DEPARTURE,Port,SHANGHAI,2021-11-24 02:03 UTC,1h 53m,Not in Transit,Other Special Craft,OTHER MARKETS
YUNTAI99,DEPARTURE,Port,SHANGHAI,2021-11-24 01:52 UTC,1h 17m,In Transit,Other Cargo,DRY BREAKBULK
HUCHONGYUCE23102,DEPARTURE,Port,SHANGHAI,2021-11-24 01:43 UTC,1h 1m,In Transit,Other Fishing,FISHING
ZHOU CHEN 11,DEPARTURE,Port,SHANGHAI,2021-11-24 01:38 UTC,1h 57m,In Transit,Other Cargo,DRY BREAKBULK
BAO HUI,DEPARTURE,Port,SHANGHAI,2021-11-24 01:27 UTC,1h 1m,In Transit,Other Tanker,WET BULK
